profile_id,offload_one_way_latency_ns,offload_bandwidth_gbps,hierarchical_ns,bank_only_ns,gpu_full_ns,hierarchical_speedup_vs_bank_only,hierarchical_speedup_vs_gpu_full,winner,evidence_class
dit_norm3,250,128,88693.5625,93776.6385,21495.904,1.057311,0.242361,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,250,128,88693.5625,93776.6385,21886.048,1.057311,0.24676,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,250,128,459778.75,462476.54,151413.856,1.005868,0.329319,gpu_full,ASSUMED_SENSITIVITY
qwen_query_key,250,128,578210.0,500499.28,151161.888,0.865601,0.261431,gpu_full,ASSUMED_SENSITIVITY
vlln,250,256,534557.5,537125.58,79737.952,1.004804,0.149166,gpu_full,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,250,256,534557.5,537125.58,79737.952,1.004804,0.149166,gpu_full,ASSUMED_SENSITIVITY
dit_adaln_norm1,250,256,88693.5625,93602.3885,21747.808,1.055346,0.245202,gpu_full,ASSUMED_SENSITIVITY
dit_norm3,250,256,88693.5625,93602.3885,13623.904,1.055346,0.153606,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,250,256,88693.5625,93602.3885,13822.048,1.055346,0.15584,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,250,256,459778.75,461881.54,79605.856,1.004573,0.173139,gpu_full,ASSUMED_SENSITIVITY
qwen_query_key,250,256,578210.0,481459.28,79477.888,0.832672,0.137455,gpu_full,ASSUMED_SENSITIVITY
vlln,250,512,534557.5,536530.58,43769.952,1.003691,0.081881,gpu_full,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,250,512,534557.5,536530.58,43769.952,1.003691,0.081881,gpu_full,ASSUMED_SENSITIVITY
dit_adaln_norm1,250,512,88693.5625,93515.2635,13875.808,1.054364,0.156447,gpu_full,ASSUMED_SENSITIVITY
dit_norm3,250,512,88693.5625,93515.2635,9687.904,1.054364,0.109229,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,250,512,88693.5625,93515.2635,9790.048,1.054364,0.110381,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,250,512,459778.75,461584.04,43701.856,1.003926,0.09505,gpu_full,ASSUMED_SENSITIVITY
qwen_query_key,250,512,578210.0,471939.28,43635.888,0.816207,0.075467,gpu_full,ASSUMED_SENSITIVITY
vlln,500,16,534557.5,555475.58,1159277.952,1.039132,2.168668,hierarchical,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,500,16,534557.5,555475.58,1159277.952,1.039132,2.168668,hierarchical,ASSUMED_SENSITIVITY
dit_adaln_norm1,500,16,88693.5625,96716.1385,258407.808,1.090453,2.91349,hierarchical,ASSUMED_SENSITIVITY
dit_norm3,500,16,88693.5625,96716.1385,132203.904,1.090453,1.490569,hierarchical,ASSUMED_SENSITIVITY
dit_norm_out,500,16,88693.5625,96716.1385,135282.048,1.090453,1.525275,hierarchical,ASSUMED_SENSITIVITY
qwen_input_post_attention,500,16,459778.75,471306.54,1157225.856,1.025072,2.516919,hierarchical,ASSUMED_SENSITIVITY
qwen_query_key,500,16,578210.0,767559.28,1155237.888,1.327475,1.997956,hierarchical,ASSUMED_SENSITIVITY
vlln,500,32,534557.5,545955.58,583789.952,1.021322,1.092099,hierarchical,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,500,32,534557.5,545955.58,583789.952,1.021322,1.092099,hierarchical,ASSUMED_SENSITIVITY
dit_adaln_norm1,500,32,88693.5625,95322.1385,132455.808,1.074736,1.493409,hierarchical,ASSUMED_SENSITIVITY
dit_norm3,500,32,88693.5625,95322.1385,69227.904,1.074736,0.780529,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,500,32,88693.5625,95322.1385,70770.048,1.074736,0.797916,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,500,32,459778.75,466546.54,582761.856,1.01472,1.267483,hierarchical,ASSUMED_SENSITIVITY
qwen_query_key,500,32,578210.0,615239.28,581765.888,1.064041,1.00615,hierarchical,ASSUMED_SENSITIVITY
vlln,500,64,534557.5,541195.58,296045.952,1.012418,0.553815,gpu_full,ASSUMED_SENSITIVITY
vl_self_attention_norm1_norm3,500,64,534557.5,541195.58,296045.952,1.012418,0.553815,gpu_full,ASSUMED_SENSITIVITY
dit_adaln_norm1,500,64,88693.5625,94625.1385,69479.808,1.066877,0.783369,gpu_full,ASSUMED_SENSITIVITY
dit_norm3,500,64,88693.5625,94625.1385,37739.904,1.066877,0.425509,gpu_full,ASSUMED_SENSITIVITY
dit_norm_out,500,64,88693.5625,94625.1385,38514.048,1.066877,0.434237,gpu_full,ASSUMED_SENSITIVITY
qwen_input_post_attention,500,64,459778.75,464166.54,295529.856,1.009543,0.642765,gpu_full,ASSUMED_SENSITIVITY
qwen_query_key,500,64,578210.0,539079.28,295029.888,0.932324,0.510247,gpu_full,ASSUMED_SENSITIVITY
vlln,500,128,534557.5,538815.58,152173.952,1.007966,0.284673,gpu_full,ASSUMED_SENSITIVITY
