ordinal,profile,channel,arrival_cycle,tensor_input_output_bytes,measured_compute_cycles,transfer_cycles,service_start_cycle,completion_cycle,queue_cycles,service_cycles
104,dit_adaln_norm1,0,520000,251904,4856,3936,520000,524856,0,4856
105,dit_adaln_norm1,1,525000,251904,4856,3936,525000,529856,0,4856
106,dit_adaln_norm1,2,530000,251904,4856,3936,530000,534856,0,4856
107,dit_adaln_norm1,3,535000,251904,4856,3936,535000,539856,0,4856
108,dit_adaln_norm1,4,540000,251904,4856,3936,540000,544856,0,4856
109,dit_adaln_norm1,5,545000,251904,4856,3936,545000,549856,0,4856
110,dit_adaln_norm1,6,550000,251904,4856,3936,550000,554856,0,4856
111,dit_adaln_norm1,7,555000,251904,4856,3936,555000,559856,0,4856
112,dit_adaln_norm1,0,560000,251904,4856,3936,560000,564856,0,4856
113,dit_adaln_norm1,1,565000,251904,4856,3936,565000,569856,0,4856
114,dit_adaln_norm1,2,570000,251904,4856,3936,570000,574856,0,4856
115,dit_adaln_norm1,3,575000,251904,4856,3936,575000,579856,0,4856
116,dit_adaln_norm1,4,580000,251904,4856,3936,580000,584856,0,4856
117,dit_adaln_norm1,5,585000,251904,4856,3936,585000,589856,0,4856
118,dit_adaln_norm1,6,590000,251904,4856,3936,590000,594856,0,4856
119,dit_adaln_norm1,7,595000,251904,4856,3936,595000,599856,0,4856
120,dit_adaln_norm1,0,600000,251904,4856,3936,600000,604856,0,4856
121,dit_adaln_norm1,1,605000,251904,4856,3936,605000,609856,0,4856
122,dit_adaln_norm1,2,610000,251904,4856,3936,610000,614856,0,4856
123,dit_adaln_norm1,3,615000,251904,4856,3936,615000,619856,0,4856
124,dit_adaln_norm1,4,620000,251904,4856,3936,620000,624856,0,4856
125,dit_adaln_norm1,5,625000,251904,4856,3936,625000,629856,0,4856
126,dit_adaln_norm1,6,630000,251904,4856,3936,630000,634856,0,4856
127,dit_adaln_norm1,7,635000,251904,4856,3936,635000,639856,0,4856
128,dit_adaln_norm1,0,640000,251904,4856,3936,640000,644856,0,4856
129,dit_adaln_norm1,1,645000,251904,4856,3936,645000,649856,0,4856
130,dit_adaln_norm1,2,650000,251904,4856,3936,650000,654856,0,4856
131,dit_adaln_norm1,3,655000,251904,4856,3936,655000,659856,0,4856
132,dit_adaln_norm1,4,660000,251904,4856,3936,660000,664856,0,4856
133,dit_adaln_norm1,5,665000,251904,4856,3936,665000,669856,0,4856
134,dit_adaln_norm1,6,670000,251904,4856,3936,670000,674856,0,4856
135,dit_adaln_norm1,7,675000,251904,4856,3936,675000,679856,0,4856
136,dit_adaln_norm1,0,680000,251904,4856,3936,680000,684856,0,4856
137,dit_norm3,1,685000,251904,4856,3936,685000,689856,0,4856
138,dit_norm3,2,690000,251904,4856,3936,690000,694856,0,4856
139,dit_norm3,3,695000,251904,4856,3936,695000,699856,0,4856
140,dit_norm3,4,700000,251904,4856,3936,700000,704856,0,4856
141,dit_norm3,5,705000,251904,4856,3936,705000,709856,0,4856
142,dit_norm3,6,710000,251904,4856,3936,710000,714856,0,4856
143,dit_norm3,7,715000,251904,4856,3936,715000,719856,0,4856
144,dit_norm3,0,720000,251904,4856,3936,720000,724856,0,4856
145,dit_norm3,1,725000,251904,4856,3936,725000,729856,0,4856
146,dit_norm3,2,730000,251904,4856,3936,730000,734856,0,4856
147,dit_norm3,3,735000,251904,4856,3936,735000,739856,0,4856
148,dit_norm3,4,740000,251904,4856,3936,740000,744856,0,4856
149,dit_norm3,5,745000,251904,4856,3936,745000,749856,0,4856
150,dit_norm3,6,750000,251904,4856,3936,750000,754856,0,4856
151,dit_norm3,7,755000,251904,4856,3936,755000,759856,0,4856
152,dit_norm3,0,760000,251904,4856,3936,760000,764856,0,4856
153,dit_norm3,1,765000,251904,4856,3936,765000,769856,0,4856
154,dit_norm3,2,770000,251904,4856,3936,770000,774856,0,4856
155,dit_norm3,3,775000,251904,4856,3936,775000,779856,0,4856
156,dit_norm3,4,780000,251904,4856,3936,780000,784856,0,4856
157,dit_norm3,5,785000,251904,4856,3936,785000,789856,0,4856
158,dit_norm3,6,790000,251904,4856,3936,790000,794856,0,4856
159,dit_norm3,7,795000,251904,4856,3936,795000,799856,0,4856
160,dit_norm3,0,800000,251904,4856,3936,800000,804856,0,4856
161,dit_norm3,1,805000,251904,4856,3936,805000,809856,0,4856
162,dit_norm3,2,810000,251904,4856,3936,810000,814856,0,4856
163,dit_norm3,3,815000,251904,4856,3936,815000,819856,0,4856
164,dit_norm3,4,820000,251904,4856,3936,820000,824856,0,4856
165,dit_norm3,5,825000,251904,4856,3936,825000,829856,0,4856
166,dit_norm3,6,830000,251904,4856,3936,830000,834856,0,4856
167,dit_norm3,7,835000,251904,4856,3936,835000,839856,0,4856
168,dit_norm3,0,840000,251904,4856,3936,840000,844856,0,4856
169,dit_norm3,1,845000,251904,4856,3936,845000,849856,0,4856
170,dit_norm3,2,850000,251904,4856,3936,850000,854856,0,4856
171,dit_norm3,3,855000,251904,4856,3936,855000,859856,0,4856
172,dit_norm3,4,860000,251904,4856,3936,860000,864856,0,4856
173,dit_norm3,5,865000,251904,4856,3936,865000,869856,0,4856
174,dit_norm3,6,870000,251904,4856,3936,870000,874856,0,4856
175,dit_norm3,7,875000,251904,4856,3936,875000,879856,0,4856
176,dit_norm3,0,880000,251904,4856,3936,880000,884856,0,4856
177,dit_norm3,1,885000,251904,4856,3936,885000,889856,0,4856
178,dit_norm3,2,890000,251904,4856,3936,890000,894856,0,4856
179,dit_norm3,3,895000,251904,4856,3936,895000,899856,0,4856
180,dit_norm3,4,900000,251904,4856,3936,900000,904856,0,4856
181,dit_norm3,5,905000,251904,4856,3936,905000,909856,0,4856
182,dit_norm3,6,910000,251904,4856,3936,910000,914856,0,4856
183,dit_norm3,7,915000,251904,4856,3936,915000,919856,0,4856
184,dit_norm3,0,920000,251904,4856,3936,920000,924856,0,4856
185,dit_norm3,1,925000,251904,4856,3936,925000,929856,0,4856
186,dit_norm3,2,930000,251904,4856,3936,930000,934856,0,4856
187,dit_norm3,3,935000,251904,4856,3936,935000,939856,0,4856
188,dit_norm3,4,940000,251904,4856,3936,940000,944856,0,4856
189,dit_norm3,5,945000,251904,4856,3936,945000,949856,0,4856
190,dit_norm3,6,950000,251904,4856,3936,950000,954856,0,4856
191,dit_norm3,7,955000,251904,4856,3936,955000,959856,0,4856
192,dit_norm3,0,960000,251904,4856,3936,960000,964856,0,4856
193,dit_norm3,1,965000,251904,4856,3936,965000,969856,0,4856
194,dit_norm3,2,970000,251904,4856,3936,970000,974856,0,4856
195,dit_norm3,3,975000,251904,4856,3936,975000,979856,0,4856
196,dit_norm3,4,980000,251904,4856,3936,980000,984856,0,4856
197,dit_norm3,5,985000,251904,4856,3936,985000,989856,0,4856
198,dit_norm3,6,990000,251904,4856,3936,990000,994856,0,4856
199,dit_norm3,7,995000,251904,4856,3936,995000,999856,0,4856
200,dit_norm3,0,1000000,251904,4856,3936,1000000,1004856,0,4856
201,dit_norm3,1,1005000,251904,4856,3936,1005000,1009856,0,4856
202,dit_norm3,2,1010000,251904,4856,3936,1010000,1014856,0,4856
203,dit_norm3,3,1015000,251904,4856,3936,1015000,1019856,0,4856
204,dit_norm3,4,1020000,251904,4856,3936,1020000,1024856,0,4856
205,dit_norm3,5,1025000,251904,4856,3936,1025000,1029856,0,4856
206,dit_norm3,6,1030000,251904,4856,3936,1030000,1034856,0,4856
207,dit_norm3,7,1035000,251904,4856,3936,1035000,1039856,0,4856
