x_mm,y_mm,wire_um,max_wire_um,wire_skew_um,delay_ps,tsv_distance_um,congestion_ratio,wire_power_mw,area_proxy_mm2,tsv_count,tsv_keepout_area_mm2,tsv_violation_penalty,max_temp_c,mean_temp_c,max_gradient_c_per_mm,temperature_exceedance_c,timing_exceedance_ps,candidate_constraints_satisfied,hard_constraints_satisfied,hard_constraint_violations,raw_wire,raw_delay,raw_thermal,raw_tsv,raw_congestion,raw_power,raw_area,raw_reliability,norm_wire,norm_delay,norm_thermal,norm_tsv,norm_congestion,norm_power,norm_area,norm_reliability,scores_balanced,scores_thermal_first,scores_performance_first,scores_cost_first
-2.5,4.5,7228.124999999999,10412.5,1948.8753768199238,11266.150871681151,824.7999999999997,0.7329216780856544,0.32294973375,0.2276473156,1024,2.5735927018207585,0.0,35.486193104009864,32.033745598362145,4.452993059046577,0.0,1266.1508716811513,False,False,timing_limit;global_rtl_timing_not_closed,7228.124999999999,11461.038409363144,13.135228115409715,0.41862611930322347,0.7329216780856544,0.32294973375,0.2276473156,0.007073635688476586,1.0,1.0,0.1876461159344245,0.41862611930322347,0.13168671234261797,0.6458994675,0.4552946312,0.007073635688476586,0.5077098806520379,0.31843082582547844,0.6501405874426116,0.5348581544674504
-2.5,5.0,7728.124999999999,10912.5,1948.8753768199238,12374.112138517088,663.9999999999997,0.7312987171016174,0.34528953375,0.23564731560000002,1024,2.5735927018207585,0.0,35.865380607214455,32.03460018475184,5.221514485981378,0.0,2374.112138517088,False,False,timing_limit;global_rtl_timing_not_closed,7728.124999999999,12568.99967619908,13.668333550598689,0.4038861193032235,0.7312987171016174,0.34528953375,0.23564731560000002,0.007347009353217759,1.0,1.0,0.19526190786569556,0.4038861193032235,0.12519486840646987,0.6905790675,0.47129463120000004,0.007347009353217759,0.510551961607715,0.3238849947306912,0.651089630925361,0.5442121579501998
-2.5,5.5,8228.125,11412.5,1948.8753768199238,13534.029385040527,1163.9999999999998,0.7299002484521102,0.36762933375000006,0.24364731560000003,1024,2.5735927018207585,0.0,36.13727311013535,32.035656301320394,4.783138225773811,0.0,3534.029385040527,False,False,timing_limit;global_rtl_timing_not_closed,8228.125,13728.91692272252,13.852814830620208,0.4497194526365569,0.7299002484521102,0.36762933375000006,0.24364731560000003,0.007549509467783188,1.0,1.0,0.19789735472314582,0.4497194526365569,0.11960099380844103,0.7352586675000001,0.48729463120000005,0.007549509467783188,0.5182889992070645,0.33015739877622224,0.6607128931570313,0.5592117135152036
-2.0,-5.5,7962.499999999999,10912.5,1710.8112110925624,12374.112138517088,1663.9999999999998,0.7303132194630395,0.35576131499999997,0.2393973156,1024,2.5735927018207585,0.0,36.07190119117288,32.03744121949286,4.700654539618674,0.0,2374.112138517088,False,False,timing_limit;global_rtl_timing_not_closed,7962.499999999999,12545.193259626345,13.771392403969827,0.49555278596989016,0.7303132194630395,0.35576131499999997,0.2393973156,0.00750031783841326,1.0,1.0,0.19673417719956895,0.49555278596989016,0.12125287785215821,0.7115226299999999,0.4787946312,0.00750031783841326,0.5211300055259385,0.3303865895585912,0.6660225023525769,0.5581560522940825
-2.0,-5.0,7462.499999999999,10412.5,1710.8112110925624,11266.150871681151,1163.9999999999998,0.7317521847888796,0.33342151499999995,0.23139731560000001,1024,2.5735927018207585,0.0,35.847668542500436,32.03696753102843,5.164705409637897,0.0,1266.1508716811513,False,False,timing_limit;global_rtl_timing_not_closed,7462.499999999999,11437.231992790408,13.639851507185123,0.4497194526365569,0.7317521847888796,0.33342151499999995,0.23139731560000001,0.007334007800322208,1.0,1.0,0.19485502153121603,0.4497194526365569,0.12700873915551858,0.6668430299999999,0.46279463120000003,0.007334007800322208,0.5136018584020438,0.3244698538987154,0.6564928774141731,0.5432501340223452
-2.0,-4.5,6962.499999999999,9912.5,1710.8112110925624,10210.145584532715,1324.7999999999997,0.7334205640764943,0.31108171500000004,0.2233973156,1024,2.5735927018207585,0.0,35.50871689832512,32.03646353039753,4.4302421144357425,0.0,210.14558453271457,False,False,timing_limit;global_rtl_timing_not_closed,6962.499999999999,10381.226705641971,13.15388120381165,0.46445945263655686,0.7334205640764943,0.31108171500000004,0.2233973156,0.007089586156517142,1.0,1.0,0.18791258862588073,0.46445945263655686,0.1336822563059772,0.6221634300000001,0.4467946312,0.007089586156517142,0.5109491797263752,0.31933357062007645,0.6556307847564952,0.5339830813646673
-2.0,-4.0,6462.5,9412.5,1710.8112110925624,9206.096277071776,1415.2000000000005,0.7353806059744372,0.28874191500000007,0.21539731560000003,1024,2.5735927018207585,0.0,35.4307364879558,32.0359710179697,4.4481456316843015,0.0,0.0,True,False,global_rtl_timing_not_closed,6462.5,9377.177398181033,13.079358368785083,0.4727461193032235,0.7353806059744372,0.28874191500000007,0.21539731560000003,0.007034516270413436,1.0,1.0,0.18684797669692976,0.4727461193032235,0.14152242389774905,0.5774838300000001,0.43079463120000006,0.007034516270413436,0.509256223181371,0.31661584298774975,0.6545146068284722,0.524784610103311
-2.0,-3.5,5962.5,8912.5,1710.8112110925624,8254.00294929834,1254.4000000000003,0.737720344394579,0.26640211500000005,0.20739731560000002,1024,2.5735927018207585,0.0,35.40179407174492,32.035590194056404,4.460232878203123,0.0,0.0,True,False,global_rtl_timing_not_closed,5962.5,8425.084070407596,13.05273819589965,0.45800611930322355,0.737720344394579,0.26640211500000005,0.20739731560000002,0.007014186115021861,0.99375,1.0,0.18646768851285214,0.45800611930322355,0.1508813775783162,0.5328042300000001,0.41479463120000004,0.007014186115021861,0.5043370334878693,0.31251261495786486,0.6486039768703513,0.5125680201451903
-2.0,-3.0,5462.499999999999,8412.5,1710.8112110925624,7353.865601212402,1146.3999999999999,0.7405690591016031,0.24406231499999997,0.1993973156,1024,2.5735927018207585,0.0,35.55932882334183,32.03533630325224,5.068354252140691,0.0,0.0,True,False,global_rtl_timing_not_closed,5462.499999999999,7524.946722321658,13.331833749583026,0.4481061193032235,0.7405690591016031,0.24406231499999997,0.1993973156,0.007125558872443779,0.9104166666666665,1.0,0.1904547678511861,0.4481061193032235,0.16227623640641253,0.48812462999999995,0.3987946312,0.007125558872443779,0.4857937798143378,0.303036504819671,0.624795425991532,0.4899198425997044
-2.0,-2.5,4962.499999999999,7912.5,1710.8112110925624,6505.684232813965,1307.1999999999998,0.744125816962127,0.22172251499999998,0.1913973156,1024,2.5735927018207585,0.0,35.3937049830336,32.03514551889503,4.470226625965113,0.0,0.0,True,False,global_rtl_timing_not_closed,4962.499999999999,6676.765353923221,13.04653668795038,0.4628461193032235,0.744125816962127,0.22172251499999998,0.1913973156,0.007008514571839701,0.8270833333333332,1.0,0.1863790955421483,0.4628461193032235,0.17650326784850812,0.44344502999999996,0.3827946312,0.007008514571839701,0.46795921378456085,0.29126008165925454,0.6041483963564745,0.4692011862979799
