x_mm,y_mm,wins,win_rate,win_rate_ci95_low,win_rate_ci95_high,mean_rank,top_k,top_k_rate,balanced_rank
-1.0,-1.5,0,0.0,0.0,0.003826898586390522,142.448,5,0.0,146
1.0,1.5,0,0.0,0.0,0.003826898586390522,143.462,5,0.0,147
-2.0,1.5,0,0.0,0.0,0.003826898586390522,145.22,5,0.0,150
2.0,-1.5,0,0.0,0.0,0.003826898586390522,146.23,5,0.0,151
2.0,1.5,0,0.0,0.0,0.003826898586390522,147.414,5,0.0,152
-2.0,-1.5,0,0.0,0.0,0.003826898586390522,148.016,5,0.0,153
0.0,-1.5,0,0.0,0.0,0.003826898586390522,148.078,5,0.0,148
0.0,1.5,0,0.0,0.0,0.003826898586390522,149.078,5,0.0,149
-2.5,1.5,0,0.0,0.0,0.003826898586390522,151.292,5,0.0,154
2.5,-1.5,0,0.0,0.0,0.003826898586390522,152.123,5,0.0,155
2.5,1.5,0,0.0,0.0,0.003826898586390522,153.458,5,0.0,157
-2.5,-1.5,0,0.0,0.0,0.003826898586390522,153.907,5,0.0,156
0.5,-2.0,0,0.0,0.0,0.003826898586390522,161.56,5,0.0,158
-0.5,2.0,0,0.0,0.0,0.003826898586390522,162.57,5,0.0,159
-1.5,2.0,0,0.0,0.0,0.003826898586390522,162.626,5,0.0,162
1.5,-2.0,0,0.0,0.0,0.003826898586390522,163.612,5,0.0,163
-0.5,-2.0,0,0.0,0.0,0.003826898586390522,163.724,5,0.0,160
1.0,-2.0,0,0.0,0.0,0.003826898586390522,164.146,5,0.0,166
0.5,2.0,0,0.0,0.0,0.003826898586390522,164.386,5,0.0,161
-1.5,-2.0,0,0.0,0.0,0.003826898586390522,164.961,5,0.0,165
-1.0,2.0,0,0.0,0.0,0.003826898586390522,165.142,5,0.0,167
1.5,2.0,0,0.0,0.0,0.003826898586390522,165.273,5,0.0,164
-1.0,-2.0,0,0.0,0.0,0.003826898586390522,166.154,5,0.0,168
1.0,2.0,0,0.0,0.0,0.003826898586390522,167.118,5,0.0,169
-2.0,2.0,0,0.0,0.0,0.003826898586390522,168.847,5,0.0,172
2.0,-2.0,0,0.0,0.0,0.003826898586390522,169.872,5,0.0,173
-2.0,-2.0,0,0.0,0.0,0.003826898586390522,170.825,5,0.0,174
0.0,-2.0,0,0.0,0.0,0.003826898586390522,171.198,5,0.0,170
2.0,2.0,0,0.0,0.0,0.003826898586390522,171.844,5,0.0,175
0.0,2.0,0,0.0,0.0,0.003826898586390522,172.19,5,0.0,171
2.5,-2.0,0,0.0,0.0,0.003826898586390522,174.889,5,0.0,176
-2.5,2.0,0,0.0,0.0,0.003826898586390522,175.725,5,0.0,177
2.5,2.0,0,0.0,0.0,0.003826898586390522,176.813,5,0.0,178
-2.5,-2.0,0,0.0,0.0,0.003826898586390522,177.785,5,0.0,179
0.5,-2.5,0,0.0,0.0,0.003826898586390522,183.456,5,0.0,180
-0.5,-2.5,0,0.0,0.0,0.003826898586390522,183.996,5,0.0,181
1.5,-2.5,0,0.0,0.0,0.003826898586390522,184.804,5,0.0,184
-0.5,2.5,0,0.0,0.0,0.003826898586390522,185.725,5,0.0,182
-1.5,2.5,0,0.0,0.0,0.003826898586390522,185.726,5,0.0,185
0.5,2.5,0,0.0,0.0,0.003826898586390522,185.727,5,0.0,183
1.0,-2.5,0,0.0,0.0,0.003826898586390522,186.374,5,0.0,188
-1.5,-2.5,0,0.0,0.0,0.003826898586390522,186.903,5,0.0,186
-1.0,-2.5,0,0.0,0.0,0.003826898586390522,187.495,5,0.0,189
1.5,2.5,0,0.0,0.0,0.003826898586390522,187.607,5,0.0,187
-1.0,2.5,0,0.0,0.0,0.003826898586390522,188.339,5,0.0,190
1.0,2.5,0,0.0,0.0,0.003826898586390522,189.28,5,0.0,191
2.0,-2.5,0,0.0,0.0,0.003826898586390522,191.247,5,0.0,194
-2.0,2.5,0,0.0,0.0,0.003826898586390522,192.298,5,0.0,195
0.0,-2.5,0,0.0,0.0,0.003826898586390522,193.036,5,0.0,192
2.0,2.5,0,0.0,0.0,0.003826898586390522,193.587,5,0.0,196
-2.0,-2.5,0,0.0,0.0,0.003826898586390522,193.852,5,0.0,197
0.0,2.5,0,0.0,0.0,0.003826898586390522,194.032,5,0.0,193
2.5,-2.5,0,0.0,0.0,0.003826898586390522,197.258,5,0.0,198
-2.5,2.5,0,0.0,0.0,0.003826898586390522,197.437,5,0.0,199
2.5,2.5,0,0.0,0.0,0.003826898586390522,198.82,5,0.0,200
-2.5,-2.5,0,0.0,0.0,0.003826898586390522,199.821,5,0.0,201
0.5,-3.0,0,0.0,0.0,0.003826898586390522,205.985,5,0.0,202
-0.5,-3.0,0,0.0,0.0,0.003826898586390522,206.213,5,0.0,203
1.5,-3.0,0,0.0,0.0,0.003826898586390522,206.713,5,0.0,206
-0.5,3.0,0,0.0,0.0,0.003826898586390522,207.22,5,0.0,204
-1.5,3.0,0,0.0,0.0,0.003826898586390522,208.115,5,0.0,208
1.5,3.0,0,0.0,0.0,0.003826898586390522,208.133,5,0.0,207
0.5,3.0,0,0.0,0.0,0.003826898586390522,208.198,5,0.0,205
1.0,-3.0,0,0.0,0.0,0.003826898586390522,209.218,5,0.0,210
-1.5,-3.0,0,0.0,0.0,0.003826898586390522,209.591,5,0.0,209
-1.0,3.0,0,0.0,0.0,0.003826898586390522,210.43,5,0.0,212
-1.0,-3.0,0,0.0,0.0,0.003826898586390522,210.983,5,0.0,211
1.0,3.0,0,0.0,0.0,0.003826898586390522,212.089,5,0.0,213
2.0,-3.0,0,0.0,0.0,0.003826898586390522,213.31,5,0.0,216
2.0,3.0,0,0.0,0.0,0.003826898586390522,214.531,5,0.0,217
0.0,-3.0,0,0.0,0.0,0.003826898586390522,215.426,5,0.0,214
-2.0,-3.0,0,0.0,0.0,0.003826898586390522,215.51,5,0.0,219
-2.0,3.0,0,0.0,0.0,0.003826898586390522,215.889,5,0.0,218
0.0,3.0,0,0.0,0.0,0.003826898586390522,216.426,5,0.0,215
2.5,-3.0,0,0.0,0.0,0.003826898586390522,219.122,5,0.0,220
-2.5,3.0,0,0.0,0.0,0.003826898586390522,220.07,5,0.0,221
2.5,3.0,0,0.0,0.0,0.003826898586390522,221.072,5,0.0,222
-2.5,-3.0,0,0.0,0.0,0.003826898586390522,222.088,5,0.0,223
1.5,-3.5,0,0.0,0.0,0.003826898586390522,230.338,5,0.0,228
-0.5,-3.5,0,0.0,0.0,0.003826898586390522,230.666,5,0.0,225
0.5,-3.5,0,0.0,0.0,0.003826898586390522,230.679,5,0.0,224
-1.5,-3.5,0,0.0,0.0,0.003826898586390522,231.438,5,0.0,229
0.5,3.5,0,0.0,0.0,0.003826898586390522,232.411,5,0.0,226
1.5,3.5,0,0.0,0.0,0.003826898586390522,232.778,5,0.0,231
-1.5,3.5,0,0.0,0.0,0.003826898586390522,232.798,5,0.0,230
-0.5,3.5,0,0.0,0.0,0.003826898586390522,232.932,5,0.0,227
1.0,-3.5,0,0.0,0.0,0.003826898586390522,233.272,5,0.0,232
2.5,-3.5,0,0.0,0.0,0.003826898586390522,233.991,5,0.0,236
-1.0,-3.5,0,0.0,0.0,0.003826898586390522,234.232,5,0.0,233
2.5,3.5,0,0.0,0.0,0.003826898586390522,234.947,5,0.0,237
-1.0,3.5,0,0.0,0.0,0.003826898586390522,235.65,5,0.0,234
1.0,3.5,0,0.0,0.0,0.003826898586390522,235.854,5,0.0,235
-2.5,3.5,0,0.0,0.0,0.003826898586390522,235.924,5,0.0,238
-2.5,-3.5,0,0.0,0.0,0.003826898586390522,236.954,5,0.0,239
2.0,-3.5,0,0.0,0.0,0.003826898586390522,240.302,5,0.0,242
2.0,3.5,0,0.0,0.0,0.003826898586390522,241.608,5,0.0,243
-2.0,3.5,0,0.0,0.0,0.003826898586390522,242.03,5,0.0,244
-2.0,-3.5,0,0.0,0.0,0.003826898586390522,243.268,5,0.0,245
0.0,-3.5,0,0.0,0.0,0.003826898586390522,243.434,5,0.0,240
2.5,-4.0,0,0.0,0.0,0.003826898586390522,243.614,5,0.0,246
0.0,3.5,0,0.0,0.0,0.003826898586390522,244.434,5,0.0,241
2.5,4.0,0,0.0,0.0,0.003826898586390522,244.713,5,0.0,247
-2.5,4.0,0,0.0,0.0,0.003826898586390522,245.517,5,0.0,248
-2.5,-4.0,0,0.0,0.0,0.003826898586390522,246.612,5,0.0,249
2.5,-4.5,0,0.0,0.0,0.003826898586390522,251.082,5,0.0,250
-2.5,4.5,0,0.0,0.0,0.003826898586390522,252.178,5,0.0,251
2.5,4.5,0,0.0,0.0,0.003826898586390522,252.987,5,0.0,252
2.0,-4.0,0,0.0,0.0,0.003826898586390522,253.242,5,0.0,254
-2.5,-4.5,0,0.0,0.0,0.003826898586390522,254.081,5,0.0,253
2.0,4.0,0,0.0,0.0,0.003826898586390522,254.346,5,0.0,255
-2.0,4.0,0,0.0,0.0,0.003826898586390522,255.224,5,0.0,256
-2.0,-4.0,0,0.0,0.0,0.003826898586390522,256.156,5,0.0,257
2.0,-4.5,0,0.0,0.0,0.003826898586390522,261.424,5,0.0,262
2.0,4.5,0,0.0,0.0,0.003826898586390522,262.668,5,0.0,263
-2.0,4.5,0,0.0,0.0,0.003826898586390522,263.181,5,0.0,264
2.5,-5.0,0,0.0,0.0,0.003826898586390522,263.79,5,0.0,258
1.5,-4.0,0,0.0,0.0,0.003826898586390522,263.888,5,0.0,266
-2.0,-4.5,0,0.0,0.0,0.003826898586390522,264.423,5,0.0,265
-2.5,5.0,0,0.0,0.0,0.003826898586390522,264.79,5,0.0,259
-1.5,-4.0,0,0.0,0.0,0.003826898586390522,264.928,5,0.0,267
2.5,5.0,0,0.0,0.0,0.003826898586390522,266.062,5,0.0,260
-1.5,4.0,0,0.0,0.0,0.003826898586390522,266.337,5,0.0,269
1.5,4.0,0,0.0,0.0,0.003826898586390522,266.399,5,0.0,268
