sample,scenario,area_index,package_index,yield_cost_index,energy_index,thermal_index,combined_cost_index,normalized_performance,performance_per_cost
317,hbm2_8hi_no_pim,0.9922470521558064,1.0,0.9819583743751399,1.0489381936110806,0.678821244985257,0.929487693659014,0.64715085132742,0.6962446686946989
318,hbm2_4hi_1stack,0.5788463206861141,0.725,0.8926637265591502,0.7500000000000001,0.6378343294104201,0.7090415161314416,1.0,1.410354650960411
318,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
318,hbm2_12hi_1stack,1.421153679313886,1.275,1.1202426739737559,1.25,1.4369427843159663,1.2952767377600216,1.0,0.7720357903820179
318,hbm2_8hi_2stack,2.0,2.0,1.7794031872115725,1.0,2.0,1.700876850224533,2.0,1.1758640843021526
318,hbm2_8hi_no_pim,0.9926006778499452,1.0,0.9848211640223877,1.8968143040852916,0.8098122648446628,1.0846964562961012,0.42693281208419703,0.3935965768174803
319,hbm2_4hi_1stack,0.548476029920172,0.725,0.42486571477776247,0.7500000000000001,0.5827427123947849,0.5938231056126781,1.0,1.6840031830156694
319,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
319,hbm2_12hi_1stack,1.4515239700798277,1.275,2.3536848590455857,1.25,1.5287621460086918,1.527800081252019,1.0,0.65453589921301
319,hbm2_8hi_2stack,2.0,2.0,8.284596194972508,1.0,2.0,2.3135147163381973,2.0,0.8644855318515439
319,hbm2_8hi_no_pim,0.9958067933047998,1.0,0.984848744542994,1.0086855841979805,0.6988551093545922,0.9288327411917469,0.6928374116799352,0.7459226844124639
320,hbm2_4hi_1stack,0.5597492858096685,0.725,0.6028911000792295,0.7499999999999998,0.6506772817829014,0.6537315828117305,1.0,1.5296798048198201
320,hbm2_8hi_1stack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
320,hbm2_12hi_1stack,1.4402507141903318,1.275,1.6586743441204959,1.25,1.415537863695164,1.4005808467133734,1.0,0.713989486823711
320,hbm2_8hi_2stack,2.0,2.0,4.469320853052891,1.0,2.0,2.0448728282052797,2.0,0.9780559320920396
320,hbm2_8hi_no_pim,0.9957008051612213,1.0,0.9837573564194504,0.917544406148515,0.864062454498852,0.9506875697071945,0.941711865615138,0.9905587236248172
