OpenROAD 26Q3-1080-gab6fd26351 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
LOGIC_DIE_LEAF_CELLS=13176
   Internal  Switching    Leakage      Total
      Power      Power      Power      Power (Watts)
--------------------------------------------
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[26\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[5\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[27\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[4\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[16\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[11\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[28\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[20\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[19\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[30\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[24\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.36e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[10\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[17\]$_DFFE_PP_
   4.78e-06   0.00e+00   9.34e-12   4.78e-06 g_logic_die_enabled.u_logic_die.u_context.tag_q\[0\]\[18\]$_DFFE_PP_
   4.77e-06   0.00e+00   9.36e-12   4.77e-06 g_logic_die_enabled.u_logic_die.u_context.src0_q\[0\]\[12\]$_DFFE_PP_
   4.55e-06   1.61e-09   8.88e-12   4.55e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[13\]$_DFFE_PP_
   4.55e-06   1.33e-09   8.88e-12   4.55e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[10\]$_DFFE_PP_
   4.55e-06   6.70e-10   8.88e-12   4.55e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[5\]$_DFFE_PP_
   4.55e-06   6.67e-10   8.88e-12   4.55e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[4\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[23\]\[8\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[62\]\[24\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[23\]\[15\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[62\]\[15\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[62\]\[21\]$_DFFE_PP_
   4.54e-06   5.18e-09   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[1\]\[10\]$_DFFE_PP_
   4.54e-06   2.84e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[56\]$_DFFE_PP_
   4.54e-06   7.29e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[0\]\[0\]$_DFFE_PP_
   4.54e-06   4.26e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[0\]\[12\]$_DFFE_PP_
   4.54e-06   3.92e-10   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[0\]\[30\]$_DFFE_PP_
   4.54e-06   3.20e-09   9.12e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[1\]\[13\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[12\]\[5\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[21\]\[4\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.ordinal_q\[28\]\[13\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[27\]\[8\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.epoch_q\[12\]\[3\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[29\]\[2\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.signature_q\[28\]\[2\]$_DFFE_PP_
   4.54e-06   3.13e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[114\]$_DFFE_PP_
   4.54e-06   1.57e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[35\]$_DFFE_PP_
   4.54e-06   2.32e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[119\]$_DFFE_PP_
   4.54e-06   1.46e-09   8.88e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.mask_q\[36\]$_DFFE_PP_
   4.54e-06   9.26e-18   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[6\]\[30\]$_DFFE_PP_
   4.54e-06   2.06e-23   9.09e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[8\]\[30\]$_DFFE_PP_
   4.54e-06   0.00e+00   8.08e-12   4.54e-06 g_logic_die_enabled.u_logic_die.u_coalescer.command_q\[12\]\[30\]$_DFFE_PP_
