candidate,profile_id,rows,hidden_size,samples,bit_mismatches,bit_exact_rate,max_abs,mean_abs,rmse,nonfinite,threshold,result
C9_FP32_REDUCE_NR2_FUSED,action_dit_adaln_norm1,41,1536,62976,6,0.9999047256097561,0.0078125,4.962207825203253e-07,5.3921643591233666e-05,0,0.025,PASS
C10_FP32_BALANCED_NR2_FUSED,action_dit_adaln_norm1,41,1536,62976,6,0.9999047256097561,0.0078125,4.962207825203253e-07,5.3921643591233666e-05,0,0.025,PASS
C11_FP32_INTERLEAVED4_NR2_FUSED,action_dit_adaln_norm1,41,1536,62976,4,0.9999364837398373,0.0078125,4.962207825203253e-07,6.226335088509164e-05,0,0.025,PASS
C0_CURRENT_BF16,action_dit_norm3,41,1536,62976,36957,0.4131573932926829,0.0625,0.0028518411081011703,0.005026900882764124,0,0.025,FAIL
C1_FP32_REDUCE_SCALAR,action_dit_norm3,41,1536,62976,25235,0.599291793699187,0.03125,0.0017332934236865703,0.003569952091457375,0,0.025,FAIL
C2_FP32_REDUCE_SCALAR_NR1,action_dit_norm3,41,1536,62976,21984,0.6509146341463414,0.03125,0.00147473316912244,0.003255335734200508,0,0.025,FAIL
C3_FUSED_APPLY_ONLY,action_dit_norm3,41,1536,62976,35661,0.43373666158536583,0.0625,0.0026402092440341546,0.004726394628807099,0,0.025,FAIL
C4_BF16_REDUCE_FP32_SCALAR_FUSED,action_dit_norm3,41,1536,62976,43920,0.30259146341463417,0.0625,0.0034451469877447055,0.0055112120975742696,0,0.025,FAIL
C5_FP32_REDUCE_LUT_FUSED,action_dit_norm3,41,1536,62976,20956,0.6672383130081301,0.03125,0.001429792319432022,0.0032142348276244966,0,0.025,FAIL
C6_FP32_REDUCE_NR1_FUSED,action_dit_norm3,41,1536,62976,78,0.9987614329268293,0.015625,5.345034405467956e-06,0.0002184080251055137,0,0.025,PASS
C7_FP32_REDUCE_EXACT_FUSED,action_dit_norm3,41,1536,62976,0,1.0,0.0,0.0,0.0,0,0.025,PASS
C8_CANONICAL_WELFORD_FUSED,action_dit_norm3,41,1536,62976,0,1.0,0.0,0.0,0.0,0,0.025,PASS
C9_FP32_REDUCE_NR2_FUSED,action_dit_norm3,41,1536,62976,0,1.0,0.0,0.0,0.0,0,0.025,PASS
C10_FP32_BALANCED_NR2_FUSED,action_dit_norm3,41,1536,62976,0,1.0,0.0,0.0,0.0,0,0.025,PASS
C11_FP32_INTERLEAVED4_NR2_FUSED,action_dit_norm3,41,1536,62976,0,1.0,0.0,0.0,0.0,0,0.025,PASS
C0_CURRENT_BF16,action_dit_norm_out,41,1536,62976,47606,0.24406122967479674,0.1875,0.0016202039612510158,0.006261271152649235,0,0.025,FAIL
C1_FP32_REDUCE_SCALAR,action_dit_norm_out,41,1536,62976,27743,0.5594670985772358,0.0625,0.000613358181738484,0.003471256820263545,0,0.025,FAIL
C2_FP32_REDUCE_SCALAR_NR1,action_dit_norm_out,41,1536,62976,24489,0.6111375762195121,0.0625,0.0004989198987311646,0.003058976045208677,0,0.025,FAIL
C3_FUSED_APPLY_ONLY,action_dit_norm_out,41,1536,62976,47392,0.24745934959349594,0.1875,0.0016082752788462108,0.00617529441553767,0,0.025,FAIL
C4_BF16_REDUCE_FP32_SCALAR_FUSED,action_dit_norm_out,41,1536,62976,51460,0.18286331300813008,0.125,0.0018331653450812569,0.0066771886642598395,0,0.025,FAIL
C5_FP32_REDUCE_LUT_FUSED,action_dit_norm_out,41,1536,62976,19775,0.6859914888211383,0.0625,0.0005040776109459196,0.0031836486023775618,0,0.025,FAIL
C6_FP32_REDUCE_NR1_FUSED,action_dit_norm_out,41,1536,62976,72,0.9988567073170732,0.0625,4.4369116062071264e-06,0.00041667771753321726,0,0.025,FAIL
C7_FP32_REDUCE_EXACT_FUSED,action_dit_norm_out,41,1536,62976,4,0.9999364837398373,0.0001220703125,7.753449726880082e-09,9.728648575795568e-07,0,0.025,PASS
C8_CANONICAL_WELFORD_FUSED,action_dit_norm_out,41,1536,62976,5,0.9999206046747967,0.0001220703125,7.995745030845084e-09,9.747631322774408e-07,0,0.025,PASS
C9_FP32_REDUCE_NR2_FUSED,action_dit_norm_out,41,1536,62976,4,0.9999364837398373,0.0001220703125,7.753449726880082e-09,9.728648575795568e-07,0,0.025,PASS
C10_FP32_BALANCED_NR2_FUSED,action_dit_norm_out,41,1536,62976,4,0.9999364837398373,0.0001220703125,7.753449726880082e-09,9.728648575795568e-07,0,0.025,PASS
C11_FP32_INTERLEAVED4_NR2_FUSED,action_dit_norm_out,41,1536,62976,4,0.9999364837398373,0.0001220703125,7.753449726880082e-09,9.728648575795568e-07,0,0.025,PASS
